'a'wei'si'man'qin 阿维四螨嗪
'fu'long 福龙
'mao'kuai'shi 毛块石
'tie'zhi'hui'rang 铁质灰壤
'xian'chong'fang'zhi 线虫防治
'wang'she 王蛇
'jiang'su'sheng'xu'zhou'tian'he'bao'hua'gong'you'xian'gong'si 江苏省徐州天禾宝化工有限公司
'ci'xiong'yi'zhu 雌雄异株
'shan'di'qi'hou 山地气候
'xiao'hao 消耗
'gu'li'shai 谷粒筛
'tui'dong'zhong'sang'yang'can'sheng'chan'fa'zhan 推动种桑养蚕生产发展
'kong'qi'di 空气第
'di'wen 地温
'ning'meng 柠檬
'jiao'huo'fu'xian 交货付现
'gan'cao'sheng'yun'qi 干草升运器
'xuan'ze'biao'zhun 选择标准
'shuang'ye'de 双叶的
'zhi'du'jian'she 制度建设
'huo'xing'de 活性的
'hai'jiao 海角
'ye'mai'wei 野麦畏
'nong'fu'chan'pin'de'shang'pin'liang'he'shang'pin'lv 农副产品的商品量和商品率
'pei'jia'jie 胚嫁接
'ye'cai'lei'shu'cai 叶菜类蔬菜
'dian'yun'zhong'zi'qing'xuan'ji 电晕种子清选机
'bei'zi'de 被子的
'shi'hua 石化
'jian'guan'jie 肩关节
'gan'han'nong'ye 干旱农业
'qu'yu'zi'ran'tiao'jian'you'yue 区域自然条件优越
'bian'hong 变红
'sheng'cha'ye'chan'ye'ban 省茶叶产业办
'hei'mu'er 黑木耳
'san'fu'suo'cao'mi 三氟羧草醚
'zao'bo 早播
'zhong'zi'jian'ding 种子鉴定
'cheng'gong'xian 呈贡县
'ku'gua 苦瓜
'ri'yu 日语
'chi'jiu'xing'bing'du 持久性病毒
'shi'xue 示学
'di'bai'mie'duo'wei 敌百灭多威
'jiao'ru'qi 搅乳器
'diao'cha'liao'jie 调查了解
'yan'yong 沿用
'you'yin'ji 诱引剂
'bu'tuo'pi'can 不脱皮蚕
'bei'jing'long'xing'ke'ji'gu'fen'you'xian'gong'si 北京龙兴科技股份有限公司
'tai'pan 胎盘
'ye'wu'gong'zuo 业务工作
'nong'chan'pin'you'zhi'lv 农产品优质率
'wu'gong'hai'nong'chan'pin 无公害农产品
'song'xiang'you 松香油
'bei'ji'xing 北极星
'shu'jie 树节
'zi'xie'shi'tuo'yun'qi 自卸式拖运器
'kuai'che'dao 快车道
'cai'zheng'tong'ji 财政统计
'pen'jing 盆景
'ru'xia'tiao'zheng 如下调整
'ju'hua'guan'de 具花冠的
'dao'zong'juan'ye'ming 稻纵卷叶螟
'kou'chu 扣除
'yuan'shi'jun'ti'jiao'huan 原噬菌体交换
'gao'tong 膏桐
'du'zhong'dai 杜仲甙
'bu'chao'guo 不超过
'yan'chi'xing'leng'hai 延迟型冷害
'guo'nei'chun'gou'jin 国内纯购进
'sheng'wu'qi'hou'dai 生物气候带
'mie'you'niao'er'hao 灭幼脲二号
'zhu'ma'ye'e 苎麻夜蛾
'nai'han 耐旱
'guang'zhou'qi'xian'xiang 光周期现象
'ren'kou'wen'hua'jiao'yu'gou'cheng 人口文化教育构成
'gang'men 肛门
'shui'you'xiao'xing 水有效性
'yin'dao'xing'pei'xun 引导性培训
'lin'mu'xu'ji'liang 林木蓄积量
'xi'jun'ban'zhen'bing 细菌斑疹病
'zhong'da'zhi'fa'xing'dong 重大执法行动
'jie'xing'ye'man 截形叶螨
'mu'ju'zhi'zao 模具制造
'you'hai'bu'chun'wu 有害不纯物
'tuan'ke 团棵
'shi'pin'fu'zhao'ji'shu 食品辐照技术
'dai'xie'jie'kang'wu 代谢拮抗物
'shou'ye'ren 守夜人
'tan'an 碳铵
'he'dan'bai'ti'shi'bie'dian 核蛋白体识别点
'di'jun'ling 敌菌灵
'ji'du'jiao'jie 基督教界
'yi'liang'lv'ye'dou 宜良绿叶豆
'dai'xie'wu 代谢物
'su'yuan'chun 粟缘蝽
'zhen'dui'xing 针对性
'zhou'yong'kang 周永康
'bei'jing'zhi'cheng'ke'ji'fa'zhan'you'xian'gong'si 北京挚诚科技发展有限公司
'xue'bo'ji 穴播机
'cai'zheng'xue 财政学
'bei'qun'zhong'tou'su 被群众投诉
'ying'yang'li'miao 营养粒苗
'yang'li'zi'xi'fu'li 阳离子吸附力
'mie'duo'wei 灭多威
'tu'rang'sheng'wu'xue 土壤生物学
'nong'cun'zhao'qi'xiang'cun'fu'wu'wang'dian 农村沼气乡村服务网点
'an'bai'mu 安百亩
'qi'ye'e 绮夜娥
'ke'ben'fei 课本费
'ya'ma 亚麻
'ce'ping 测评
'hu'die'lan 蝴蝶兰
'ti'bu'wei 体部位
'wei'sheng'hai'chong 卫生害虫
'di'wen'ji 地温计
'liang'qian 两迁
'can'zhong'shi'chang'guan'li 蚕种市场管理
'yuan'sheng'zhi'xi'bao 原生质细胞
'hu'wei 虎威
'fu'jing'yi'xian'jia 氟腈乙酰甲
'xia'da'li'qi 下大力气
'xin'yan'jian 新烟碱
'fan'zhi'lv 繁殖率
'sai'xian'yan 腮腺炎
'shi'yong 食用
'tian'cai'cong'gen'bing 甜菜丛根病
'si'liao'tian'jia'wu 饲料添加物
'dong'wu'you 动物油
'lin'you 麟游
'min'zhu'dang'pai 民主党派
'guang'an'suan 胱氨酸
'mo'fa'guang 莫发光
'xiao'jia 小荚
'ci'er'cai 刺儿菜
'zhu'yao 主要
'ri'ben'xu'hua'xue'gong'ye'zhu'shi'hui'she 日本旭化学工业株式会社
'qian'xing'suan'du 潜性酸度
'zi'ran'fang'she'xing'yuan'su 自然放射性元素
'gan'an'suan 甘氨酸
'zi'zhu 仔猪
'za'zhong'fan'zhi 杂种繁殖
'duo'xin'pi'de 多心皮的
'zhu'xi 株系
'jue'dui'wen'du 绝对温度
'bo'li'cui 玻璃翠
'fa'yu'jie'duan 发育阶段
'mei'mu'sang'yuan'chan'zhi 每亩桑园产值
'dui'ying'zuo'wu 对应作物
'hei'ying'bing 黑颖病
'shi'wu'bu 事务部
'xu'lie'hao 序列号
'mei'mu'geng'di'nong'ye'zong'chan'zhi 每亩耕地农业总产值
'zhi'li 直立
'qi'hou'sheng'tai 气候生态
'niu'pi 牛皮
'cun'she 村社
'gan'jue 感觉
'bai'nei'zhang 白内障
'di'san'ji'ceng 第三纪层
'mei'gong'cheng 酶工程
'zhi'wu'zheng'fa 植物蒸发
'lou'gu'lei 蝼蛄类
'ju'he'mei 聚合酶
'lv'se'tong'dao 绿色通道
'ji'hua'chan'liang 计划产量
'fu'mei 辅酶
'gu'cha 古刹
'xi'bao'yi'chuan'xue 细胞遗传学
'bai'juan'bing 白绢病
'ju'mo'si'liao 锯末饲料
'shang'wu'ying'yu 商务英语
'shou'nai 收奶
'cun'min'wei'yuan'hui 村民委员会
're'xie'po 热胁迫
'ji'chu'pei'yang'ji 基础培养基
'wei'xiu'ling 萎锈灵
'zhuan'gao'ren 撰稿人
'shui'yu'nong'ye 水域农业
'shui'hua'sheng 水花生
'yu'mi'miao 玉米苗
'jie'du 解毒
'ping'dan 凭单
'hong'shui'kong'zhi 洪水控制
'sheng'li'xue 生理学
'shan'dong'fu'an'ji'tuan'nong'yao'you'xian'gong'si 山东富安集团农药有限公司
'xian'shui'guo'sheng'chan'fa'zhan'ban'gong'shi 县水果生产发展办公室
'xun'huan'jing'ji 循环经济
'zhi'xin'shui'ping 置信水平
'tian'jian'gou'qu 田间沟渠
'mao'tou'ying 猫头鹰
'jin'hua'cai 金花菜
'nong'gong'shang'zong'he'jing'ying 农工商综合经营
'you'ji'hua'xue 有机化学
'dang'ke 党课
'zhi'dai 制袋
'ji'jie 季节
'ci'xi 刺吸
'an'hui'zhong'tian'hua'gong'you'xian'gong'si 安徽中天化工有限公司
'hou'chang 后肠
'wen'guan'guo 文冠果
'gao'liang'san'hei'sui'bing 高粱散黑穗病
'wu'ji 无机
'qi'ta'rou'lei 其他肉类
'chao'sheng 超声
'cai'cao'tong 菜草通
'fu'liu'long 氟硫隆
'da'sheng'chu 大牲畜
'lian'dao'gu'xing 镰刀谷型
'shan'dong'sheng'cheng'wu'xian'fu'li'hua'gong'zong'chang 山东省成武县福利化工总厂
'man'chun'shui'an 螨醇水胺
'you'ji'shen'sha'jun'ji 有机砷杀菌剂
'bo'zhong'ba 播种耙
'pen'chu'chen'ji'yan 喷出沉积岩
'han'leng 寒冷
'bian'yi'zhong'xin 变异中心
'qu'bie'zhong 区别种
'ru'cai 茹菜
'jin'yin'mu 金银木
'lian'ben 联苯
'shi'liang 矢量
'sheng'tai'chu'li 生态处理
'mo'zhi 膜脂
'bing'cao'yi'bing'long 丙草异丙隆
'yun'nan'xin'xi'gang 云南信息港
'tu'chu 突出
'qu'chen 曲辰
'yao'ji'shi 药剂师
'quan'xian'xing'de 全县性的
'xi'bao'fen'hua 细胞分化
'hun'he'yu 混合育
'jiang'su'feng'shan'ji'tuan'you'xian'gong'si 江苏丰山集团有限公司
'bei'jing'guo'ji'qi'wu'ji'you'xian'gong'si 北京国际气雾剂有限公司
'wei'huang 微黄
'mie'cha 灭茬
'jiang'xi'sheng'an'nong'sheng'hua'you'xian'gong'si 江西省安农生化有限公司
'dai'hua 带化
'jian'mo 建模
'shen'zhan'shi'ding'chi'ba 伸展式钉齿耙
'po'di'ti'gai'xing 坡地梯改型
'gong'cheng'guan'li 工程管理
'feng'xuan'ji 风选机
'xuan'ze'xing'nong'ye'ji'xie'hua 选择性农业机械化
'qiao'mai'bai'fen'bing 荞麦白粉病
'nuan'xing'xiao'mai 暖型小麦
'kui'he'ling 奎禾灵
'xi'shan 西山
'xian'mu'shu 鲜木薯
'shi'yi'de'tiao'jian 适宜的条件
'nei'yuan 内源
'shou'gu 收菇
'fen'lei'qi 分类器
'nong'ke'yuan 农科院
'ba'jie'qi 拔节期
'rong'ji 溶剂
'ji'jie'yong'shui'liang 季节用水量
'pu'ju'xi'tang 葡聚烯糖
'sha'cao'jing 杀草净
'yuan'lin'she'ji 园林设计
'jing'guang'he'zuo'yong 净光合作用
'mian'yang'fei'yan 绵羊肺炎
'cao'di'tu'rang 草地土壤
'bi'wen'you 避蚊油
'shang'chang 墒长
'ren'gong'feng'chao 人工蜂巢
'dun'ye'de 钝叶的
'gu'ge'fa'yu 骨胳发育
'lian'zhao 连爪
'xiang'yuan 香橼
'ran'se'ti'zu'gong'yi'xue 染色体组工艺学
'yun'nan'sheng'nong'ke'yuan 云南省农科院
'kun'ming'bai'pi'dou 昆明白皮豆
'jia'mai'cao'wei 甲麦草畏
'jing'zi'shu 精子数
'fu'you'xuan'fan'shi'ben'mi'ju'zhi 富右旋反式苯醚菊酯
'mian'yi'xing'ji'bing 免疫性疾病
'ben'pu'yi'bing'long 苯扑异丙隆
'you'mu 游牧
'ce'zhi 侧枝
'fu'cao'an 伏草胺
'yun'nan'nong'ye'ke'ji 云南农业科技
'gu'yu 谷雨
'shi'xiang 事项
'shang'bao'zi'zhi'qu 上报自治区
'lin'xi'jun 磷细菌
'pei'xun'ji'di 培训基地
'lei'ji 累积
'lie'ru'yi'cheng 列入议程
'zhi'ma'you 芝麻油
'yun'ma'xue'qing 孕马血清
'man'chong'su 满虫素
'si'deng'di 四等地
'lao'hua 老化
'fa'liu'lin 发硫磷
'mian'yi'ying'guang 免疫荧光
'ye'de 腋的
'kai'fa'xing'nong'ye 开发性农业
'mao'niu 牦牛
'gan'zhong 干重
'er'xiao'zhi 二硝酯
'yi'ning'ru'ruan'mei 胰凝乳朊酶
'fu'jian'sheng'zheng'he'xian'guan'chao'hua'gong'chang 福建省政和县官潮化工厂
'he'ben'ke'lv'fei 禾本科绿肥
'jian'zhu 箭猪
'pen'sha 喷杀
'xia'jian 夏剪
'mao'cao'fang 茅草房
'kuang'zha 矿渣
'ma'lie'xing'lin'ba'guan'yan 马列性淋巴管炎
'niu'pi'xia'ying'qu'bing 牛皮下蝇蛆病
'a'wei'yu'teng'tong 阿维鱼藤酮
'nian'du'ji 粘度计
'gu'fei 钴肥
'yu'guo'jia'zi'jin'pei'tao'de'xiang'mu 与国家资金配套的项目
'zhou'bian'di'qu 周边地区
'chang'yi 长椅
'hu'tong'bai'jun'qing 琥铜百菌清
'dao'wen 导温
'ying'li'xing 赢利性
'deng'xin'cao 灯心草
'shi'guan'nei'yu'zhong 试管内育种
'duo'xiang'fen'bu 多项分布
'ya'zhou'hao 亚洲蒿
'wo'man'zhi 肟螨酯
'xi'jun'gan'ran 细菌感染
'chu'ru'jing'zhi'wu'jian'yan'jian'yi'gong'zuo 出入境植物检验检疫工作
'lu'dan 路单
'shuang'wu'ding'wen'shi 双屋顶温室
'xin'xi'an'quan'zhuan'men'hua 信息安全专门化
'lin'ba'liu 淋巴瘤
'dian'zi'xin'xiang 电子信箱
'jia'liu'fu'mei'shuang 甲柳福美双
'nian'ling'zhong'wei'shu 年龄中位数
'nong'chan'pin'jing'shen'jia'gong'ye 农产品精深加工业
'pang'wei'mei 庞卫梅
'fei'pang 肥胖
'gan'zhe'lun'ban'bing 甘蔗轮斑病
'gu'lei 菇蕾
'dao'ying'wen 稻瘿蚊
'qing'jia 请假
'cha'li'jie 茶梨蚧
'cu'shen'shang'xian'pi'zhi'ji'su 促肾上腺皮质激素
'zhang'yan'yun 张衍云
'ju'fu'e'de 具副萼的
'ji'suan'mei'mu'xue'shu 计算每亩穴数
'tuo'liu 脱硫
'tong'xing'jie'he'ti 同型结合体
'you'se'ti 有色体
'zhi'li'xiao'shi 智利硝石
'gao'chan'tian 高产田
'chen'ji'ceng 沉积层
'hui'yi'jue'ding 会议决定
'fu'mei'an 福美铵
'sang'shi'han'xing 桑释寒性
'lin'rong'hong'sha'tu 淋溶红砂土
'jing'dian'ku'bing 茎点枯病
'bao'cun'dian 包村点
'guang'shi'ying 光适应
'yang'ka'ta'xing're'bing 羊卡他性热病
'zong'dan 总氮
'xiao'san 小伞
'he'dian'shou'jing 合点受精
'ti'chi'ce'liang 体尺测量
'gong'hui'dai'biao 工会代表
'dou'lei'shu'cai 豆类蔬菜
'chang'dao'xi'jun 肠道细菌
'sha'che'ta'ban 刹车踏板
'hui'gui'gu'ji 回归估计
'tu'bai'xue'zheng 兔败血症
'fan'dou 饭豆
'jia'qin'si'liao 家禽饲料
'che'shen 车身
'zhong'zi'deng'ji 种子登记
'mi'bian'chong 米扁虫
'dang'wei'yi'shi'gong'zuo'zhi'du 党委议事工作制度
'ke'zeng'chan 可增产
'ji'yin'zuo'wei 基因座位
'deng'ji'bu 登记簿
'mo'hui'gong 抹灰工
'xiao'suan'gai 硝酸钙
'jie'he 结合
'yang'shu'zhu'gan'tian'niu 杨树蛀干天牛
'wei'liang'di 喂量第
'ban'zhong 拌种
'nong'yao'shen'ding 农药审定
'wu'shui'jing'hua 污水净化
'li'shi'yan'hui 立食宴会
'gui'du 规度
'ming'te'kun'xue'sheng 名特困学生
'shou'chu 手锄
'da'bao'zi'xiang 大孢子襄
'xiao'suan'yan'huan'yuan'mei 硝酸盐还原酶
'jiang'su'sheng'chang'shu'shi'yi'nong'nong'hua'you'xian'gong'si 江苏省常熟市义农农化有限公司
'xuan'chuan'ying'xiao 宣传营销
'zheng'qu'dao'le 争取到了
'tian'cai'qing'li'ji 甜菜清理机
'jing'shen'jia'gong 精深加工
'mao'sui'ceng 毛髓层
'jiang'su'sheng'nan'tong'tai'he'hua'gong'you'xian'gong'si 江苏省南通泰禾化工有限公司
'shun'ta 顺塔
'si'mao'shi 思茅市
'san'ge'dai'biao 三个代表
'xuan'fu'hua 旋覆花
'ju'ban'ru'tang'quan'suan'mei 聚半乳糖醛酸酶
'neng'fan'mu'chu 能繁母畜
'dao'wen'su 稻瘟素
'ye'yu'shi'jian 业余时间
'yun'tai 芸苔
'guang'dong 广东
'hu'qi 呼气
'di'ke'song 敌克松
'bu'quan'jiao'hua 不全角化
'sheng'chu 牲畜
'zhao'ze'tu 沼泽土
'jiang'su'sheng'jing'jiang'shi'xin'mao'shuo'hua'chang 江苏省靖江市新茂朔化厂
'fu'yi'ling 伏蚁灵
'gen'jing'ye 根茎叶
'ban'kang'yuan 半抗原
'nong'cun'chan'ye'jie'gou 农村产业结构
'lin'yi'feng'yang'hua'gong'you'xian'gong'si 临沂丰阳化工有限公司
'di'shi'ji 狄氏剂
'can'ye'you'shi'de'fen'xi 蚕业优势的分析
'zhong'dian 重点
'pu'tao'zi 葡萄籽
'ou'li'jian 欧李坚
'pa'li'chun 帕里醇
'tian'ran'fang'mu'de 天然放牧地
'hong'sun 红隼
'ji'sheng'xing 寄生性
'ji'zhu 脊柱
'qian'zai'de'sheng'chan'neng'li 潜在的生产能力
'shu'song'dai'shi'gan'zao'ji 输送带式干燥机
'zhong'wei'zhao'ze 中位沼泽
'bao'you'que 保幼炔
'zhai'xing'bo'zhong'ji 窄行播种机
'shao'geng 少耕
'xin'nong'ban 新农办
'zhu'yao'ling'dao 主要领导
'gao'deng'zhen'jun 高等真菌
'tu'rang'shi'du 土壤湿度
'zhong'jian'ran'zhong 种间染种
'xun'fang 寻访
'zui'da'xi'shi'du 最大吸湿度
'xiong'ma'ju 雄马驹
'ju'tian'niu 菊天牛
'jun'si'ti 菌丝体
'ran'liao'zhi'wu 染料植物
'duo'ban'shi'shi 多办实事
'guo'min'shou'ru 国民收入
'zui'da'hong'shui'liang 最大洪水量
'guang'rong 光荣
'fu'zhi 辅之
'fu'she'ji 辐射计
'bian'zhi'bu'ge'ceng'yu'yang 编织布隔层育秧
'fan'zhi'zhang'ai 繁殖障碍
'qing'wu'liu'dan 氰戊硫丹
'yuan'zhui'xing 圆锥型
'nong'hu'quan'nian'chun'shou'ru 农户全年纯收入
'mi'ding'lin 嘧啶磷
'xiu'jian'ju 修剪锯
'e'mei'dao'wen'ling 噁霉稻瘟灵
'nao'ji'shui 脑积水
'fu'zhi'wu 复制物
'te'xing'te'xing 特性特性
'tuo'qi 脱气
'xiao'hua'zhong'du'sha'chong'ji 消化中毒杀虫剂
'li'shui 沥水
'shou'ru 收入
'bao'zi'ti 孢子体
'hua'fen'pei'yang 花粉培养
'lin'rong'mo'jing'tu 淋溶漠境土
'wei'sheng'wu'qu'xi 微生物区系
'wen'ding'liu 稳定流
'xian'xing'li'cha 显性离差
'nao'chui'ti'hou'ye 脑垂体后叶
'ling'dao'xiao'zu'ban'gong'shi 领导小组办公室
'nong'cun'jing'ying'guan'li'zhi'dao'zhan 农村经营管理指导站
'tu'rang'shu 土壤属
'nong'jia'fei'ji'zhi 农家肥积制
'pai'luan 排卵
'di'ding'huang'cao'tong 滴丁磺草酮
'diao'zhu'mei 吊竹梅
'ning'meng'suan 柠檬酸
'shui'dao'mian'geng'pao'yang 水稻免耕抛秧
'guan'yu'tiao'zheng 关于调整
'guang'hua'fan'ying 光化反应
'zheng'qiu'yi'jian 征求意见
'bian'gou 边沟
'rong'jun'yi'zhi 溶菌抑制
'sheng'tai'nong'ye'zhong'yang'mo'shi 生态农业种养模式
'zhong'hong'ma 中红麻
'dian'shi'ji 电视机
'bai'er'zuo'wu'ke'xue'you'xian'gong'si 拜耳作物科学有限公司
'jie'wan'qu'zhi 截弯取直
'ban'li'shu 板栗树
'shuang'yi'qing 霜疫清
'tian'wei'ji 填喂机
'su'zhong'ti'xi'tong 宿重体系统
'gao'chan'gao'dian'mu'shu'chan'ye 高产高淀木薯产业
'jiang'xi'sheng'dong'xiang'fei'da'wen'xiang'chang 江西省东乡飞达蚊香厂
'xian'zheng'fu 县政府
'yuan'xing 原型
'ju'yi'xi'chun 聚乙烯醇
'dian'shi 电视
'fu'zhou'ying'he'ri'yong'hua'xue'pin'you'xian'gong'si 福州英荷日用化学品有限公司
'ji'you'yang'le'guo 机油氧乐果
'wang'tong'lian'mei'su 王铜链霉素
'guang'he'cheng'xi'jun 光合成细菌
'duo'fu'meng'xin 多福锰锌
'xia'ji'shu'cai 夏季蔬菜
'ji'lei'lv'zhi'biao 积累率指标
'yi'wei 移位
'qing'gong'ye 轻工业
'gu'dai'qin'shi 古代侵蚀
'guan'gai'tiao'jian 灌溉条件
'xi'bao'za'zhong'hua 细胞杂种化
'ke'rong 可溶
'tan'zui 贪嘴
'wu'xia'pian 武侠片
'wan'qian 万千
'heng'jing 横径
'dan'shui'yang'zhi'mian'ji 淡水养殖面积
'tu'di'zi'yuan'feng'fu 土地资源丰富
'nei'sheng'zhi'wu 内生植物
'geng'di'di'li'deng'ji'hua'fen'biao'zhun 耕地地力等级划分标准
'gao'jia'cun 高家村
'mian'hua'hei'ban'bing 棉花黑斑病
'xian'nei'gong'lu 县内公路
'da'tang 打塘
'te'se'liang'you'jing'ji'zuo'wu'shi'fan'xiang'mu 特色粮油经济作物示范项目
'lu'xi 潞西
'tu'rang'san'xiang 土壤三相
'wai'guo'yu'xue'yuan 外国语学院
'gu'lian'ti 菇连体
'xiu'xian 休闲
'tu'zhi'li'xue 土质力学
'cao'shi'xing 草食性
'shang'he'gu'gu'zhe 上颌骨骨折
'nong'hu'quan'nian'zong'zhi'chu 农户全年总支出
'qi'xiang'qi'hou'tiao'jian 气象气候条件
'cui'shu'zai'pei 催熟栽培
'cha'chi'ye'ban'bing 茶赤叶斑病
'hong'pu'tao'jiu 红葡萄酒
'zi'cai'tou 紫菜头
'han'cao'gai 旱草盖
'qu'jing'shi 曲靖市
'xing'fen'hua'zhang'ai 性分化障碍
'xie'xie 谢谢
'ju'xiao'shi'ying'yin'you'ji 桔小实蝇引诱剂
'nong'chan'pin'yu'gou'ding'jin 农产品预购定金
'xiao'hu'zi 小胡子
'tu'di'pai'shui 土地排水
'chang'jiang'zhong'xia'you 长江中下游
'yin'ding'nai'yi'suan 吲丁萘乙酸
'gong'ye'qiang'xian 工业强县
'bu'xiang'shang'xia 不相上下
'zhong'jian'zao'shu'zhong 中间早熟种
'guan'jie 冠接
'you'ji'lu'hua'he'wu 有机卤化合物
'dan'ning'zhi'wu 丹宁植物
'pai'xie'xi'tong 排泄系统
'wu'ding'xing 无定形
'gu'jian'zhu'wen'wu 古建筑文物
'bing'hua'ling 病花灵
'xiao'fen'nie 小分蘖
'bing'tong'xue'zheng 丙酮血症
'xuan'ze'zhi 选择值
'zeng'sheng 增生
'fu'yi'zong 氟蚁腙
'lou'gu 蝼蛄
'sun'zuo'huan 孙作环
'tu'rang'te'yi'fu'zhi'wu'zhi 土壤特异腐殖物质
'nong'ye'he'zuo'hua 农业合作化
'zhong'li'shui 重力水
'guan'qian'zi 管钳子
'hui'bi'xing 回避性
'ri'cheng'biao 日程表
'zao'cha 早茬
'tu'rang'tiao'jian 土壤条件
'zhong'hua'ke'wei 中化克苇
'shuang'lie'fen'xi 双列分析
'dong'wu'zhi 动物脂
'nong'cun'jing'ji'diao'cha 农村经济调查
'tong'yong'shu'song'qi 通用输送器
'zheng'fa'zhi'shu 蒸发指数
'fen'bie'zuo'le 分别作了
'cha'ban'e 茶斑蛾
'da'bi'li'chi'tu'rang'tu 大比例尺土壤图
'peng'suan'gai 硼酸钙
'cun'mao 村貌
'mie'zao'kun 灭藻醌
'bu'er'a'si 布尔阿斯
'guan'cang 罐藏
'jiang'che'zhou'cao 绛车轴草
'ji'guan'dang'yuan'gan'bu'lian'xi'ji'ceng'zhi'du 机关党员干部联系基层制度
'zhong'zi'zhong'liang 种子重量
'wan'shu'pu'tao 晚熟葡萄
'hou'zuo'wu 后作物
'cha'se 茶色
'huang'men 黄焖
'ma'la'jia'mi'lin 马拉甲嘧磷
'lei'hei'jing 类黑精
'zhu'ding'hai 朱定海
'xiang'guan'tuo'yuan 相关椭圆
'xi'shui'xing'jiao'ti 喜水性胶体
'jian'xie'fu'zhao 间歇辐照
'chuan'bo'jie'ti 传播介体
'shi'chang'jing'zheng'li'qiang 市场竞争力强
'jian'shi 坚实
'quan'guo'wei'yuan'hui 全国委员会
'yu'ji 预计
'feng'bao'zi'chong'bing 蜂胞子虫病
'huan'jie'le 缓解了
'da'ma'bai'ban'bing 大麻白斑病
'wang'shui 王水
'xian'wei'zhu'she 显微注射
'dou'cao'chu 豆草除
'zuo'bo'chuang 做播床
'you'xuan'que'fu'ju'zhi 右旋炔呋菊酯
'ri'ji'bu 日记簿
'ge'dai'yi'chuan 隔代遗传
'zhong'zi'jia'ge 种子价格
'jin'fa 金发
'ju'qi'xiong'rui'de 具七雄蕊的
'mei'dian'bing 霉点病
'gan'shu 甘薯
'di'ke'cao 敌克草
'shu'mi'yun'miao 疏密匀苗
'jing'jia'shuang'ling 精甲霜灵
'an'ji'suan'huo'xing'mei 氨基酸活性酶
'fu'wu'yuan 服务员
'qun'ji'du 群集度
'sheng'wu'xue'de'bao'hu 生物学的保护
'jia'gong'bao'xian'zhu'yun'shu'cai 加工保鲜贮运蔬菜
'nong'min'ke'ji'pei'xun 农民科技培训
'nong'cun'neng'yuan'jian'she 农村能源建设
'bai'chi'ye'chan 白翅叶蝉
'zai'za'jiao 再杂交
'shou'yao'zha'cao'ji 手摇铡草机
'dao'shu 倒数
'you'ji'liu 有机硫
'chang'ci 场次
'xian'qi'fen'jie 嫌气分解
'shen'qing'zi'zhi'qu'bo'kuan 申请自治区拨款
'jie'shou'jin'kou 接收进口
'ping'guo'jun'he'bing 苹果菌核病
'an'ji'piao'ling 氨基嘌呤
'shou'jing'luan'yi'zhi 受精卵移植
'zao'yu 早于
'yu'mi'dian'fen 玉米淀粉
'fu'zhi'zhi'zhan'pan'tu 腐殖质粘磐土
'a'wei'di'di'wei 阿维敌敌畏
'fu'nv'gu'gan 妇女骨干
'gan'mo'zhi'de 干膜质的
'ying'hua'bing 硬化病
'lian'pai 连拍
'qiao'chu 巧锄
'yan'ying 掩映
'chi'dao'qi'hou 赤道气候
'pu'tong'si'gua 普通丝瓜
'zu'e'yin'zi 阻遏因子
'ding'hua 顶花
'bi'li 秕粒
'qing'sao 清扫
'bian'cao'an 苄草胺
'ran'se'ti'jia'bei 染色体加倍
'nong'cun'neng'yuan 农村能源
'ou'qin 欧芹
'nv'guan'xi'shi 女盥洗室
'yi'chuan'qin'shi 遗传侵蚀
'yu'hua 羽化
'xian'an'dao'wen'ling 酰胺稻瘟灵
'yu'long'na'xi'zu'zi'zhi'xian 玉龙纳西族自治县
'fang'chui 纺锤
'sha'yong 杀蛹
'jue'yu'lin 绝育磷
'lun'mu 轮牧
'su'xiang'feng 苏相凤
'gu'dan'zuo'yong 固氮作用
'you'bian'xiao'ying 诱变效应
'gou'pao'zhen'bing'du 狗疱疹病毒
'qi'hou'sheng'chan'qian'li 气候生产潜力
'shan'dong'sheng'yan'zhou'zhong'cao'yao'nong'yao'chang 山东省兖州中草药农药厂
'gui'nong'ye'ban'fa 桂农业办发
'xiang'zi'lan 香子兰
'lv'sai'lin 氯噻啉
'huan'jie'dong'wu 环节动物
'xi'jun'xing'tiao'ban'bing 细菌性条斑病
'hui'mu'kuang 辉钼矿
'xiao'suan'yan'huan'yuan'mei'yi'zhi'ji 硝酸盐还原酶抑制剂
'le'guo 乐果
'guan'wang 管网
'ming'ming'wei 命名为
'miao'ke 苗棵
'si'liao'jia'gong 饲料加工
'gan'guang'xing 感光性
'li'pin'qi 李品祈
'ba'wei'zi'jie 八位字节
'you'zong 油棕
'zhuan'lan 专栏
'na'yi'nian 哪一年
'gan'jiao 甘蕉
'guang'xi'gui'gang'shi'song'tian'hua'gong'you'xian'gong'si 广西贵港市松田化工有限公司
're'dai'yu'lin'qi'hou 热带雨林气候
'gan'quan 柑醛
'shuang'yi'wei 双乙威
'ce'chan'yan'shou 测产验收
'mei'yuan'huo'bi'yong'you'de'shang'pin'ku'cun'e 每元货币拥有的商品库存额
'wu'wu 五五
'sang'he'ban'bing 桑褐斑病
'cha'bai'xing'bing 茶白星病
'tu'rang'ceng'wei'biao'shi'ji'hao 土壤层位标示记号
'ya'qing'mian'ji 压青面积
'zu'he 组合
'pi'jiu'hua'zhi'gan 啤酒花支杆
